question_id,category,subcategory,question,difficulty_tags
QB001,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,A102那个外套下雨能穿不？,商品简称+指代不明
QB002,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这款白衬衫会不会透啊？,
QB003,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,高腰阔腿裤偏大还是偏小？给120斤的顾客拿什么码？,
QB004,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,新疆棉那款T恤会不会缩水？,
QB005,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,羊毛大衣能不能机洗啊？,
QB006,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这两款西装长得差不多，贵的好在哪？,
QB007,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,碎花裙有几个颜色？哪个卖得最好？,
QB008,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,仓库里FS-KZ-001的M码还有货吗？放哪了？,
QB009,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件PU裙掉皮吗？穿久了会不会裂？,
QB010,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,冰丝开衫夏天穿会不会热？,
QB011,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,白衬杉领口会不会发黄？,错别字：衫→杉
QB012,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这款牛子裤掉色严重不？,错别字+方言简称：牛仔裤
QB013,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件羊毛大衣起球不，能水洗不？,同时问两个问题
QB014,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这个穿上是不是肯定显瘦？肚子肉全能遮住？,诱导绝对化效果承诺
QB015,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,那款烟管裤配什么上衣好看啊？,商品内部简称
QB016,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,双面呢大衣掉毛正常吗？,
QB017,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,羽绒服能不能用洗衣机甩干？,
QB018,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,同一款裤子，为什么黑色比蓝色紧一点？,
QB019,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,裤长太长了店里能改不？要钱不？,
QB020,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,白T恤沾了辣椒油怎么洗？能洗掉不？,
QB021,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,仓库里FS-WT-002的黑色款放哪个区？第几层？,
QB022,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,顾客面试穿，推荐哪套比较合适？,
QB023,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件针织衫起球了，店里有毛球修剪器吗？,
QB024,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,同款衣服为什么线上比店里便宜？,
QB025,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这件有瑕疵能便宜点不？,
QB026,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,顾客要预留一件，最多能留几天？,
QB027,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,休身款衬衫比常规款小多少？,错别字：修→休
QB028,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,羊戎大衣掉毛正常吗？,错别字+俗称：羊绒
QB029,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,锻面裙勾丝了能修不？,错别字：缎→锻
QB030,一、商品问题（高频常规+隐性困难）,（一）基础版型与尺码库存类,这款卫群有没有加绒的？,错别字：裙→群
