doc_id,title,doc_type,version,effective_date,expiry_date,store_scope,risk_level,source_section,keywords,content
promo-01,门店促销活动执行管理规则·第一章 总则,活动规则,V1.1,2026-07-15,2027-07-14,ALL,medium,《门店运营管理手册》第三篇·营销活动管理·第一章 总则,促销执行 折扣权限 价签规范 连带销售 客诉防控 禁止承诺 预售核销 员工内购 价保补差 活动复盘 第一章 总则,"1. 为统一全门店促销活动执行标准，规范导购话术与价格口径，提升活动期成交率与客单价，防范价格纠纷、私收让利、虚假承诺等风险，结合线下服装零售实战经验制定本规则。
2. 所有门店、所有在岗人员（含导购、店长、临时促销）必须严格遵守本规则，不得擅自调整活动规则、私自让利或向顾客做出超范围承诺。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
promo-02,门店促销活动执行管理规则·第二章 促销活动分类与执行标准,活动规则,V1.1,2026-07-15,2027-07-14,ALL,medium,《门店运营管理手册》第三篇·营销活动管理·第二章 促销活动分类与执行标准,促销执行 折扣权限 价签规范 连带销售 客诉防控 禁止承诺 预售核销 员工内购 价保补差 活动复盘 第二章 促销活动分类与执行标准,"1. **全场折扣类活动**
    - 活动前1天完成全店商品价签更换，做到一货一签、折扣清晰，价签需标注原价与活动价；活动期间每日营业前核对价签与系统价格，确保一致，严禁出现“标价与结算价不符”。
    - 全场折扣需在门店入口醒目位置张贴活动公示，明确活动时间、参与品类、例外商品（如特价品、配饰不参与），不得模糊表述误导顾客。
2. **满减/满赠类活动**
    - 满减门槛、满赠档位需严格按总部方案执行，导购不得私自为顾客拆单、凑单套取多重优惠；满赠礼品需登记台账，赠完即止，不得承诺“一定有货”。
    - 满减计算以实付金额为准，使用优惠券、积分抵扣的部分不计入满减门槛，结账前需向顾客清晰说明。
3. **会员专享活动**
    - 会员折扣、会员积分兑换仅限本人会员账户使用，导购不得协助非会员借用他人会员权益；会员生日福利需核验身份信息，符合条件方可兑现。
    - 活动期会员权益与全场活动不可叠加时，需提前告知顾客，由顾客二选一，结算后不得反悔补差。
4. **限时秒杀/特卖活动**
    - 秒杀商品、特卖区商品需单独陈列，明确公示特价商品在非质量问题下的退换范围与条件；存在质量问题时依法处理，导购结账前必须再次提示适用规则。
    - 限时活动需严格遵守起止时间，不得提前开单、延迟结算，避免内部套利。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
promo-03,门店促销活动执行管理规则·第三章 导购执行规范与话术要求,活动规则,V1.1,2026-07-15,2027-07-14,ALL,medium,《门店运营管理手册》第三篇·营销活动管理·第三章 导购执行规范与话术要求,促销执行 折扣权限 价签规范 连带销售 客诉防控 禁止承诺 预售核销 员工内购 价保补差 活动复盘 第三章 导购执行规范与话术要求,"1. **统一话术要求**
    - 介绍活动需客观准确，只可表述“本次活动XX折/满XX减XX”，禁止使用“全年最低价”“史上最低”“以后再也不会有”等夸大、绝对化表述。
    - 推荐商品时优先讲商品价值，再讲活动优惠，禁止以“便宜、划算”作为唯一推荐理由，避免拉低品牌价值。
2. **折扣权限管控**
    - 普通导购无任何额外折扣权限，必须严格按系统活动价结算；店长最高可审批95折额外优惠，单笔订单仅限使用1次；超出权限必须报备区域经理，未经审批不得私自让利；发现异常后按权限、财务和依法生效的员工管理制度核查处理。
    - 严禁导购私下收受顾客费用、私收现金绕过系统结算，一经查实，按依法生效的员工管理制度调查处理；涉及解除劳动关系或损失赔偿的，须履行法定程序。
3. **连带销售要求**
    - 活动期需执行“1+2连带原则”：顾客选中1件主品，必须配套推荐2件关联商品（如上装配裤装+外套），结合活动优惠讲解“一套买更划算”，提升客单价。
    - 连带推荐需贴合顾客身形与需求，不得强行堆砌无关商品引起顾客反感。
4. **禁止承诺条款**
    - 禁止承诺“活动结束后可补差价”“买贵了随时退”“不喜欢随时回来换”；禁止对活动礼品、赠品承诺“终身保修”“随时补领”。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
promo-04,门店促销活动执行管理规则·第四章 异常与客诉处理,活动规则,V1.1,2026-07-15,2027-07-14,ALL,medium,《门店运营管理手册》第三篇·营销活动管理·第四章 异常与客诉处理,促销执行 折扣权限 价签规范 连带销售 客诉防控 禁止承诺 预售核销 员工内购 价保补差 活动复盘 第四章 异常与客诉处理,"1. 顾客对活动价格、规则提出异议时，遵循“先共情、再解释、不争执”原则，不得与顾客争辩“规则就是这样”，需用顾客易懂的方式重新说明。
2. 遇到无法当场解决的投诉，由店长接待处理，24小时内给出解决方案，不得推诿拖延；涉及金额较大的纠纷，需第一时间上报区域运营部。
3. 活动期价签错误、系统价格异常导致的客诉，门店需先行按标价履约，再同步排查整改，不得让顾客承担门店工作失误的后果。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
promo-05,门店促销活动执行管理规则·第五章 违规处罚,活动规则,V1.1,2026-07-15,2027-07-14,ALL,medium,《门店运营管理手册》第三篇·营销活动管理·第五章 违规处罚,促销执行 折扣权限 价签规范 连带销售 客诉防控 禁止承诺 预售核销 员工内购 价保补差 活动复盘 第五章 违规处罚,"促销执行异常分为一般、严重和重大三类。价签错误、未公示规则、话术不规范等问题由店长记录并整改；私自让利、拆单套优惠、违规使用会员权益、私收款项等行为须立即上报。具体处理由企业依据依法制定并公示的员工管理制度执行。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
promo-06,门店促销活动执行管理规则·第六章 特殊促销场景执行规范,活动规则,V1.1,2026-07-15,2027-07-14,ALL,medium,《门店运营管理手册》第三篇·营销活动管理·第六章 特殊促销场景执行规范,促销执行 折扣权限 价签规范 连带销售 客诉防控 禁止承诺 预售核销 员工内购 价保补差 活动复盘 第六章 特殊促销场景执行规范,"1. **预售/定金类活动**
    - 预售商品需明确标注定金性质、适用条件及发货/提货时间，导购收款前必须告知并由顾客确认；定金统一录入系统，严禁私收、私抵。
    - 顾客或门店未按约履行时，定金处理按照双方确认的订单条款及适用法律执行，并由店长完成沟通与留痕。
2. **员工内购与亲友福利**
    - 员工内购仅限本人使用，每月限定额度与件数，必须由店长登记审批，禁止员工代顾客下单套取内购折扣。
    - 严禁员工在活动期替顾客囤货、事后退换套利，一经查实按内部套利处理，按依法生效的员工管理制度调查处理；涉及劳动关系处理或损失赔偿的，须依法认定并履行程序。
3. **直播/线上引流到店核销**
    - 线上券、团购券到店核销时，需核验券码有效期、使用范围，核销前告知顾客「核销后不支持退款」。
    - 线上券不与门店其他活动叠加，导购不得私自为顾客叠加优惠；特殊情况需区域经理书面审批。
4. **价保与补差规则**
    - 活动期前7天内购买正价商品的顾客，可申请退回活动价差；差价仅退至会员储值账户，不退现金。
    - 特价、秒杀、清仓商品不支持价保；购买超过7天的订单不接受补差申请，导购不得私自承诺补差。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
promo-07,门店促销活动执行管理规则·第七章 活动复盘与数据稽核,活动规则,V1.1,2026-07-15,2027-07-14,ALL,medium,《门店运营管理手册》第三篇·营销活动管理·第七章 活动复盘与数据稽核,促销执行 折扣权限 价签规范 连带销售 客诉防控 禁止承诺 预售核销 员工内购 价保补差 活动复盘 第七章 活动复盘与数据稽核,"1. 活动结束后3个工作日内，门店需提交活动复盘表，核心考核指标：总销售额、客单价、连带率、退换货率、礼品损耗率、新客注册量。
2. 总部运营部需稽核活动期订单数据，重点排查拆单凑单、员工代买、异常退换等违规行为，稽核结果与门店月度绩效、店长奖金直接挂钩。
3. 活动剩余礼品、物料统一盘点入库，不得私自截留、分发；临期礼品按总部要求统一处理，严禁私自变卖或赠送。

---

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
return-01,商品退换货服务管理规则·第一章 总则,售后规则,V1.1,2026-07-15,2027-07-14,ALL,high,《门店运营管理手册》第四篇·售后服务管理·第一章 总则,退换货时效 质量判定 非质量退换 特价商品 恶意退换 客诉处理 全渠道退换 凭证丢失 责任界定 第一章 总则,"1. 为规范门店退换货服务流程，保障消费者合法权益，同时控制门店非正常损耗，防范恶意退换、商品调包等风险，结合国家《消费者权益保护法》及服装行业零售特性制定本规则。
2. 所有导购、店长必须严格执行本规则，处理退换货遵循“态度热情、判定严谨、快速办结”原则，不得推诿、刁难顾客，也不得无底线放宽标准造成门店损失。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
return-02,商品退换货服务管理规则·第二章 退换货基本前提,售后规则,V1.1,2026-07-15,2027-07-14,ALL,high,《门店运营管理手册》第四篇·售后服务管理·第二章 退换货基本前提,退换货时效 质量判定 非质量退换 特价商品 恶意退换 客诉处理 全渠道退换 凭证丢失 责任界定 第二章 退换货基本前提,"1. **商品完好标准**
    - 正价商品退换需保持商品原貌：吊牌、洗水标、包装完整，无穿着痕迹、无洗涤、无污渍、无破损、无香水异味，不影响二次销售。
    - 鞋子、配饰等配套商品需连同原包装盒、配件一并退回，缺失则不予退换。
2. **时效界定**
    - 正价商品：自购买之日起30天内，符合完好标准可办理退换；
    - 特价/折扣商品：自购买之日起7天内，符合完好标准可换同价位商品，不予退货；
    - 秒杀、清仓、标注“不退不换”的商品：非质量问题一律不予退换。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
return-03,商品退换货服务管理规则·第三章 分类处理标准,售后规则,V1.1,2026-07-15,2027-07-14,ALL,high,《门店运营管理手册》第四篇·售后服务管理·第三章 分类处理标准,退换货时效 质量判定 非质量退换 特价商品 恶意退换 客诉处理 全渠道退换 凭证丢失 责任界定 第三章 分类处理标准,"1. **质量问题退换**
    - 质量问题界定：开线、破损、大面积起球、染色不均、面料破损、拉链损坏等出厂工艺缺陷；人为穿着、洗涤不当造成的损坏不属于质量问题。
    - 判定为质量问题的商品，30天内可无理由退货、换货，门店承担往返运费；超30天的可提供免费维修服务，不予退换。
    - 质量问题商品需拍照留存，登记《质量问题台账》，定期退回总部仓，不得私自二次销售。
2. **非质量问题退换**
    - 顾客因尺码不合适、款式不喜欢等个人原因退换，在时效内且商品完好的，可免费办理；超出时效或商品有穿着痕迹的，原则上不予办理，特殊情况需店长审批。
    - 非质量问题退货需原路退回支付账户，不退还现金；换货可换同价位或更高价位商品，高价位需补差价，低价位不退差额。
3. **特殊商品豁免规则**
    - 贴身类商品（吊带、打底衫、保暖内衣、袜子）：因卫生安全原因，一经试穿售出，非质量问题概不退换；结账前导购必须明确告知顾客。
    - 定制款、改款商品：一经下单非质量问题不予退换。
    - 饰品、皮带、包包等配饰：无质量问题且包装拆封后，不予退换。

合规边界：如门店制度与适用法律法规、平台规则或经审批的最新制度冲突，以后者为准。

合规边界：价格、促销、退换货、消费者权益和员工管理规则须经企业法务、HR及业务负责人审核后发布；系统仅引用当前生效且已审核的版本。"
