finding_id,topic,metric,finding,product_requirement
R01,新人高频问题,入职前30天日均主动提问28次；商品基础类占60%,尺码版型、面料洗涤和款式差异是新人最常确认的内容。,支持口语化、错别字和商品别名查询；回答必须包含禁语与升级提示。
R02,店长重复答疑,店长日均被提问45-60次；库存调货占40%，售后占25%,店长同时承担人工知识库和移动审批台角色。,常规问题自助查询；权责类问题生成审批任务并留痕。
R03,客诉风险,客诉中话术不实占42%，售后/活动规则错误占28%,绝对化承诺、规则误读和洗涤建议错误是主要风险。,禁语拦截、来源引用、高风险转人工、洗标优先。
R04,知识分散,商品、活动和售后信息分散在至少7个渠道,纸质卖点卡、群消息、PDF、交接本和口头传递并存，版本不一致。,建立唯一知识入口，使用版本、生效时间、适用范围和审核状态。
R05,规则传导,活动信息在多级转述后准确率约50%,兼职、晚班和中途入职人员容易漏接收或获得简化口径。,规则中心、已读确认、当前生效规则自动同步。
R06,查询时效,顾客当面提问目标响应≤3秒,导购只能短暂查看手机，长篇答案难以使用。,四层短答案：结论、顾客话术、禁语、下一步动作。
R07,权责边界,规则可覆盖约80%常规情况，边界场景需人工判断,折扣、赔偿、跨店、改价、投诉和质量争议不能由AI直接决策。,按权限、售后、账务和应急四类自动转店长。
R08,答案结构,手机一屏内完成信息传达,导购需要可直接复述且不会踩线的表达，而不是百科说明。,结构化输出并限制长度，禁语用醒目标识展示。
R09,连带销售,活动期执行1+2连带原则,推荐需要结合场景、季节、身形和品类互补，避免无关堆砌。,顾客标签匹配与商品关联推荐。
R10,知识范围,除销售外还存在库存、系统、排班和薪资等高频问题,实时库存、价格、排班和薪资需接入业务系统，静态知识库不能猜测。,识别实时数据问题并拒答，引导查看POS/ERP或联系负责人。
