source_code,source_name,target_code,target_name,rank,logic
FS-CS-001,经典修身免烫白衬衫,FS-KZ-001,高腰垂感阔腿西装裤,1,基础品类互补
FS-CS-001,经典修身免烫白衬衫,FS-WT-001,羊毛混纺修身通勤小西装,2,场景统一
FS-CS-001,经典修身免烫白衬衫,FS-KZ-002,高腰九分烟管西装裤,3,身形与季节适配
FS-KZ-001,高腰垂感阔腿西装裤,FS-CS-001,经典修身免烫白衬衫,1,基础品类互补
FS-KZ-001,高腰垂感阔腿西装裤,FS-ZS-001,V领显瘦薄款针织开衫,2,场景统一
FS-KZ-001,高腰垂感阔腿西装裤,FS-WT-001,羊毛混纺修身通勤小西装,3,身形与季节适配
FS-WT-001,羊毛混纺修身通勤小西装,FS-CS-001,经典修身免烫白衬衫,1,基础品类互补
FS-WT-001,羊毛混纺修身通勤小西装,FS-KZ-002,高腰九分烟管西装裤,2,场景统一
FS-WT-001,羊毛混纺修身通勤小西装,FS-DD-001,加绒加厚半高领打底衫,3,身形与季节适配
FS-TX-001,新疆长绒棉圆领基础T恤（男女同款）,FS-NZ-001,高腰显瘦直筒牛仔裤,1,基础品类互补
FS-TX-001,新疆长绒棉圆领基础T恤（男女同款）,FS-WT-002,中长款英伦风双排扣风衣,2,场景统一
FS-TX-001,新疆长绒棉圆领基础T恤（男女同款）,FS-ZS-001,V领显瘦薄款针织开衫,3,身形与季节适配
FS-NZ-001,高腰显瘦直筒牛仔裤,FS-TX-001,新疆长绒棉圆领基础T恤（男女同款）,1,基础品类互补
FS-NZ-001,高腰显瘦直筒牛仔裤,FS-ZS-001,V领显瘦薄款针织开衫,2,场景统一
FS-NZ-001,高腰显瘦直筒牛仔裤,FS-WT-002,中长款英伦风双排扣风衣,3,身形与季节适配
FS-ZS-001,V领显瘦薄款针织开衫,FS-LQ-002,缎面吊带内搭连衣裙,1,基础品类互补
FS-ZS-001,V领显瘦薄款针织开衫,FS-KZ-001,高腰垂感阔腿西装裤,2,场景统一
FS-ZS-001,V领显瘦薄款针织开衫,FS-TX-001,新疆长绒棉圆领基础T恤（男女同款）,3,身形与季节适配
FS-LQ-001,法式V领碎花雪纺连衣裙,FS-WT-001,羊毛混纺修身通勤小西装,1,基础品类互补
FS-LQ-001,法式V领碎花雪纺连衣裙,FS-ZS-001,V领显瘦薄款针织开衫,2,场景统一
FS-LQ-001,法式V领碎花雪纺连衣裙,FS-QZ-001,高腰A字PU皮半身裙,3,身形与季节适配
FS-DY-001,中长款双面呢羊毛大衣,FS-DD-001,加绒加厚半高领打底衫,1,基础品类互补
FS-DY-001,中长款双面呢羊毛大衣,FS-KZ-002,高腰九分烟管西装裤,2,场景统一
FS-DY-001,中长款双面呢羊毛大衣,FS-LQ-002,缎面吊带内搭连衣裙,3,身形与季节适配
FS-DD-001,加绒加厚半高领打底衫,FS-DY-001,中长款双面呢羊毛大衣,1,基础品类互补
FS-DD-001,加绒加厚半高领打底衫,FS-WT-001,羊毛混纺修身通勤小西装,2,场景统一
FS-DD-001,加绒加厚半高领打底衫,FS-YR-001,短款立领轻薄羽绒服,3,身形与季节适配
FS-KZ-002,高腰九分烟管西装裤,FS-CS-001,经典修身免烫白衬衫,1,基础品类互补
FS-KZ-002,高腰九分烟管西装裤,FS-WT-001,羊毛混纺修身通勤小西装,2,场景统一
FS-KZ-002,高腰九分烟管西装裤,FS-DD-001,加绒加厚半高领打底衫,3,身形与季节适配
FS-WT-002,中长款英伦风双排扣风衣,FS-TX-001,新疆长绒棉圆领基础T恤（男女同款）,1,基础品类互补
FS-WT-002,中长款英伦风双排扣风衣,FS-NZ-001,高腰显瘦直筒牛仔裤,2,场景统一
FS-WT-002,中长款英伦风双排扣风衣,FS-LQ-001,法式V领碎花雪纺连衣裙,3,身形与季节适配
FS-LQ-002,缎面吊带内搭连衣裙,FS-ZS-001,V领显瘦薄款针织开衫,1,基础品类互补
FS-LQ-002,缎面吊带内搭连衣裙,FS-WT-001,羊毛混纺修身通勤小西装,2,场景统一
FS-LQ-002,缎面吊带内搭连衣裙,FS-DY-001,中长款双面呢羊毛大衣,3,身形与季节适配
FS-WY-001,中长款连帽休闲卫衣裙,FS-DD-001,加绒加厚半高领打底衫,1,基础品类互补
FS-WY-001,中长款连帽休闲卫衣裙,FS-YR-001,短款立领轻薄羽绒服,2,场景统一
FS-WY-001,中长款连帽休闲卫衣裙,FS-NZ-001,高腰显瘦直筒牛仔裤,3,身形与季节适配
FS-QZ-001,高腰A字PU皮半身裙,FS-ZS-001,V领显瘦薄款针织开衫,1,基础品类互补
FS-QZ-001,高腰A字PU皮半身裙,FS-WY-001,中长款连帽休闲卫衣裙,2,场景统一
FS-QZ-001,高腰A字PU皮半身裙,FS-WT-001,羊毛混纺修身通勤小西装,3,身形与季节适配
FS-YR-001,短款立领轻薄羽绒服,FS-DD-001,加绒加厚半高领打底衫,1,基础品类互补
FS-YR-001,短款立领轻薄羽绒服,FS-NZ-001,高腰显瘦直筒牛仔裤,2,场景统一
FS-YR-001,短款立领轻薄羽绒服,FS-KZ-002,高腰九分烟管西装裤,3,身形与季节适配
